placeholder,descrizione,contratto_Ciao,contratto_ Hello,contratto_ Hola,contratto_ Bonjour,contratto_ Hallo,contratto_ Ola,contratto_ Salut,contratto_ Ahoj,contratto_ Dobrý den,contratto_ Szia,contratto_ Hej,contratto_ Merhaba,contratto_ Selam,contratto_ Bok,contratto_ Zdravo,contratto_ Buna,contratto_ Alo,contratto_ Labas,contratto_ Sveiki,Contratto_Tere
__CLIENTE_RAGIONE_SOCIALE__,Ragione sociale del cliente,Ciao,Hello,Hola,Bonjour,Hallo,Ola,Salut,Ahoj,Dobrý den,Szia,Hej,Merhaba,Selam,Bok,Zdravo,Buna,Alo,Labas,Sveiki,Tere
__CLIENTE_SEDE_LEGALE__,Sede legale del cliente,Milano,Roma,Milano,Roma,Torino,Bologna,Napoli,Milano,Roma,Firenze,Genova,Verona,Padova,Brescia,Milano,Roma,Torino,Bologna,Napoli,Modena
__CANONE_TRIMESTRALE_X__,Canone di licenza fisso trimestrale (Euro),10000,5000,10000,7000,10000,10000,10000,7000,7000,7000,5000,5000,5000,7000,7000,5000,7000,7000,7000,10000
__PREZZO_FASCIA_1001_10000_M__,Prezzo per pagina da 1.001 a 10.000 pagine/mese (centesimi di Euro),12,20,13,15,13,12,14,15,15,16,20,18,19,16,15,17,14,12,16,13
__PREZZO_FASCIA_10001_50000_Y__,Prezzo per pagina da 10.001 a 50.000 pagine/mese (centesimi di Euro),10,16,11,14,11,10,12,13,12,14,18,16,17,14,13,14,12,9,14,10
__PREZZO_FASCIA_OLTRE_50000_Z__,Prezzo per pagina oltre 50.000 pagine/mese (centesimi di Euro),9,12,10,13,10,8,11,12,10,13,14,15,16,13,12,13,11,8,13,6
__CREDITO_UPTIME_Q__,"Credito di servizio per uptime trimestrale sotto il 98,0% (% del canone trimestrale)",10,5,10,7,10,7,5,5,5,5,7,5,5,5,5,8,5,5,9,5
__CREDITO_TICKETING_K__,Credito di servizio per mancato rispetto SLA ticketing (% del canone trimestrale),5,5,5,6,5,10,6,5,5,8,5,5,5,5,5,5,5,5,5,10
__TETTO_CREDITI_J__,Tetto massimo cumulato dei crediti di servizio nel trimestre (% del canone trimestrale),10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,13,10,10,12,12
__DURATA_MESI_U__,Durata iniziale del contratto (mesi),12,12,12,36,12,12,12,24,24,22,12,12,6,12,12,36,12,8,18,12
__PREAVVISO_GIORNI_H__,Preavviso di disdetta (giorni),30,30,30,30,60,30,30,12,30,30,30,30,30,30,30,120,30,30,90,30
__DATA_FIRMA_CONTRATTO__,Data di firma del contratto (formato consigliato: gg/mm/aaaa),20/03/2025,20/07/2025,20/08/2025,30/12/2024,20/10/2025,14/04/2025,27/02/2025,19/12/2024,04/04/2024,06/06/2025,07/08/2025,06/07/2025,07/08/2025,06/05/2025,09/09/2025,12/12/2024,04/04/2025,01/01/2026,05/02/2025,12/05/2024
